district,supname,land_km2,upzoned_km2,pct_upzoned,base_mean_ft,local_mean_ft,delta_mean_ft
8,Rafael Mandelman,5.75,1.31,22.8,41.3,45.8,4.5
5,Bilal Mahmood,2.72,0.61,22.5,58.0,64.7,6.7
3,Danny Sauter,3.41,0.73,21.4,81.2,92.5,11.3
2,Stephen Sherrill,6.18,1.28,20.7,49.5,62.4,12.9
1,Connie Chan,5.0,0.92,18.4,41.9,47.1,5.3
4,Alan Wong,6.45,0.89,13.7,40.8,45.0,4.3
7,Myrna Melgar,10.54,0.96,9.1,45.7,48.5,2.8
11,Chyanne Chen,5.58,0.16,2.9,41.4,42.4,1.0
6,Matt Dorsey,5.27,0.07,1.2,92.7,93.5,0.9
10,Shamann Walton,10.78,0.0,0.0,49.3,49.3,0.0
9,Jackie Fielder,5.24,0.0,0.0,45.5,45.5,0.0
